月份, 一月, 二月, 三月, 四月, 五月, 六月, 七月, 八月, 九月, 十月, 十一月, 十二月
2010,13031,7769,12849,11387,10456,10896,12140,13730,14474,13604,11580,12944
2011,17676,6882,13248,9942,10464,11010,10977,10510,11815,12961,9998,14557
2012,10916,8464,12245,9992,11243,9953,11439,11906,12371,13635,10656,13361
2013,18395,5910,12099,12397,12894,9800,13310,14391,14335,13275,11939,16097
2014,17243,8357,12634,14840,13427,11955,14068,13525,13532,14255,12372,13769
2015,22332,9091,12850,14510,11356,14873,12719,14629,14066,15485,12463,15966
2016,22230,7409,13666,17285,11560,16950,14544,16888,16153,18358,12180,21894
2017,19470,8257,19759,14566,16986,15507,15440,15011,17848,17450,14040,18891
2018,19470,8257,19759,14566,16986,15507,15440,15011,17848,17450,14040,18891
2019,22601,8966,11510,18261,13370,18689,12682,16229,20758,23304,17229,21107
